Country,Province,City,Temperature,Feels_Like,Min_Temp,Max_Temp,Humidity,Pressure,Wind_Speed,Cloudiness,Description,Longitude,Latitude,Sunrise,Sunset,Error
Pakistan,Sindh,Karachi,27.9,30.35,27.9,27.9,69.0,1004.0,5.14,75.0,Broken clouds,67.0822,24.9056,06:17 AM,06:36 PM,
Pakistan,Sindh,Hyderabad,26.73,28.62,26.73,26.73,73.0,1007.0,4.12,40.0,Scattered clouds,78.4744,17.3753,05:34 AM,05:48 PM,
Pakistan,Sindh,Sukkur,35.77,35.14,35.77,35.77,27.0,1000.0,4.1,0.0,Clear sky,68.8574,27.7052,06:09 AM,06:29 PM,
Pakistan,Sindh,Larkana,34.92,34.36,34.92,34.92,29.0,1000.0,4.26,0.0,Clear sky,68.2141,27.5551,06:12 AM,06:32 PM,
,,Mirpurkhas,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Sindh,Nawabshah,33.34,35.83,33.34,33.34,46.0,1001.0,8.32,0.0,Clear sky,68.4096,26.2483,06:12 AM,06:31 PM,
Pakistan,Sindh,Jacobabad,35.13,34.45,35.13,35.13,28.0,1000.0,5.05,19.0,Few clouds,68.4388,28.281,06:11 AM,06:31 PM,
Pakistan,Sindh,Dadu,36.56,36.27,36.56,36.56,27.0,1000.0,3.4,0.0,Clear sky,67.7763,26.7329,06:14 AM,06:33 PM,
Pakistan,Sindh,Thatta,28.59,30.63,28.59,28.59,62.0,1004.0,6.87,55.0,Broken clouds,67.9235,24.7475,06:14 AM,06:32 PM,
Pakistan,Sindh,Badin,30.08,32.39,30.08,30.08,57.0,1004.0,7.02,1.0,Clear sky,68.8384,24.656,06:10 AM,06:29 PM,
Pakistan,Sindh,Shikarpur,34.66,33.82,34.66,34.66,28.0,1000.0,4.17,48.0,Scattered clouds,68.6379,27.9571,06:10 AM,06:30 PM,
Pakistan,Sindh,Khairpur,35.56,35.05,35.56,35.56,28.0,1000.0,4.02,0.0,Clear sky,68.7617,27.5295,06:10 AM,06:30 PM,
Pakistan,Sindh,Tando Adam,31.45,33.6,31.45,31.45,51.0,1002.0,7.06,0.0,Clear sky,68.661,25.7637,06:11 AM,06:30 PM,
Pakistan,Sindh,Tando Allahyar,30.95,33.35,30.95,30.95,54.0,1003.0,7.86,5.0,Clear sky,68.7192,25.4626,06:11 AM,06:29 PM,
Pakistan,Sindh,Sanghar,32.21,34.27,32.21,32.21,48.0,1002.0,6.28,0.0,Clear sky,68.9481,26.0466,06:10 AM,06:28 PM,
Pakistan,Sindh,Umerkot,23.55,24.02,23.55,23.55,79.0,1005.0,3.81,100.0,Overcast clouds,82.2061,19.6667,05:18 AM,05:34 PM,
Pakistan,Sindh,Jamshoro,30.84,33.37,30.84,30.84,55.0,1003.0,8.31,3.0,Clear sky,68.2903,25.4394,06:12 AM,06:31 PM,
Pakistan,Sindh,Matiari,31.73,34.11,31.73,31.73,51.0,1002.0,7.98,2.0,Clear sky,68.4467,25.5961,06:12 AM,06:30 PM,
Pakistan,Sindh,Ghotki,33.96,33.59,33.96,33.96,32.0,1001.0,3.24,1.0,Clear sky,69.3161,28.006,06:08 AM,06:28 PM,
Pakistan,Sindh,Qambar,34.58,33.71,34.58,34.58,28.0,1000.0,3.48,0.0,Clear sky,67.9997,27.5892,06:13 AM,06:33 PM,
Pakistan,Sindh,Shahdadkot,34.49,32.71,34.49,34.49,22.0,1000.0,0.73,1.0,Clear sky,67.9055,27.8477,06:13 AM,06:33 PM,
,,Tharparkar,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Sindh,Hala,31.36,33.66,31.36,31.36,52.0,1002.0,8.77,0.0,Clear sky,68.4227,25.8131,06:12 AM,06:30 PM,
,,Naushahro Feroze,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Sindh,Samaro,31.15,33.5,31.15,31.15,53.0,1003.0,6.38,0.0,Clear sky,69.3965,25.2815,06:08 AM,06:26 PM,
,,Chachro,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Sindh,Pano Aqil,34.69,34.23,34.69,34.69,30.0,1001.0,3.49,0.0,Clear sky,69.1116,27.8569,06:08 AM,06:28 PM,
Pakistan,Sindh,Pithoro,31.87,34.13,31.87,31.87,50.0,1003.0,6.68,0.0,Clear sky,69.3833,25.5167,06:08 AM,06:27 PM,
Pakistan,Sindh,Pir Jo Goth,35.07,34.57,35.07,35.07,29.0,1000.0,3.79,2.0,Clear sky,68.6179,27.591,06:10 AM,06:30 PM,
Pakistan,Sindh,Kotri,30.6,33.14,30.6,30.6,56.0,1003.0,8.24,4.0,Clear sky,68.3122,25.366,06:12 AM,06:31 PM,
,,Mirpur Bathoro,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Sindh,Daro,20.92,21.65,20.92,20.92,99.0,1015.0,0.77,100.0,Moderate rain,-9.569,8.5185,11:28 AM,11:38 PM,
Pakistan,Sindh,Daur,34.71,36.13,34.71,34.71,38.0,1000.0,6.21,0.0,Clear sky,68.3192,26.4583,06:12 AM,06:31 PM,
Pakistan,Sindh,Kandiaro,35.64,35.17,35.64,35.64,28.0,1000.0,4.15,0.0,Clear sky,68.2091,27.0601,06:12 AM,06:32 PM,
Pakistan,Sindh,Shahpur Chakar,32.39,34.59,32.39,32.39,48.0,1001.0,7.6,0.0,Clear sky,68.6509,26.155,06:11 AM,06:30 PM,
Pakistan,Sindh,Lakha,27.9,28.61,27.9,27.9,53.0,1002.0,1.59,4.0,Clear sky,75.4445,30.64,05:42 AM,06:04 PM,
Pakistan,Sindh,Sann,33.62,36.36,33.62,33.62,46.0,1001.0,8.78,0.0,Clear sky,68.1378,26.0418,06:13 AM,06:32 PM,
Pakistan,Sindh,Khipro,32.74,34.98,32.74,32.74,47.0,1002.0,6.98,0.0,Clear sky,69.3772,25.8285,06:08 AM,06:27 PM,
Pakistan,Punjab,Lahore,31.99,36.46,31.06,31.99,58.0,1001.0,2.06,0.0,Smoke,74.3436,31.5497,05:46 AM,06:09 PM,
Pakistan,Punjab,Faisalabad,33.44,32.55,33.44,33.44,30.0,1001.0,3.68,0.0,Clear sky,73.0833,31.4167,05:51 AM,06:14 PM,
Pakistan,Punjab,Rawalpindi,29.02,31.54,29.02,29.02,63.0,1003.0,2.4,0.0,Clear sky,73.0679,33.6007,05:51 AM,06:14 PM,
Pakistan,Punjab,Multan,32.94,38.67,32.94,32.94,58.0,1001.0,2.06,40.0,Smoke,71.4753,30.1956,05:58 AM,06:20 PM,
Pakistan,Punjab,Gujranwala,32.03,34.42,32.03,32.03,50.0,1001.0,2.35,0.0,Clear sky,74.1883,32.1617,05:47 AM,06:09 PM,
Pakistan,Punjab,Sialkot,29.94,35.38,29.94,31.9,72.0,1002.0,1.34,0.0,Smoke,74.5431,32.5101,05:45 AM,06:08 PM,
Pakistan,Punjab,Bahawalpur,33.5,32.79,33.5,33.5,31.0,1001.0,3.49,2.0,Clear sky,71.6833,29.4,05:58 AM,06:19 PM,
,,Rahim Yar Khan,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Punjab,Sargodha,33.81,32.72,33.81,33.81,28.0,1000.0,2.1,0.0,Clear sky,72.6711,32.0836,05:53 AM,06:15 PM,
Pakistan,Punjab,Sheikhupura,32.03,33.08,32.03,32.03,44.0,1001.0,2.86,0.0,Clear sky,73.9783,31.7131,05:48 AM,06:10 PM,
Pakistan,Punjab,Jhang,29.23,31.43,29.23,29.23,60.0,1003.0,1.21,0.0,Clear sky,72.6963,33.6748,05:52 AM,06:16 PM,
Pakistan,Punjab,Kasur,32.06,32.74,32.06,32.06,42.0,1001.0,2.36,0.0,Clear sky,74.4467,31.1156,05:46 AM,06:08 PM,
Pakistan,Punjab,Okara,31.14,30.42,31.14,31.14,35.0,1001.0,2.24,0.0,Clear sky,73.4458,30.8081,05:50 AM,06:12 PM,
Pakistan,Punjab,Sahiwal,31.65,31.17,31.65,31.65,36.0,1001.0,0.9,0.0,Clear sky,73.1,30.6667,05:52 AM,06:13 PM,
Pakistan,Punjab,Dera Ghazi Khan,34.86,34.47,34.86,34.86,30.0,1001.0,3.61,9.0,Clear sky,70.6348,30.0561,06:02 AM,06:23 PM,
